,open,high,low,close,volume,idx_stamp,VWAP_D
2021-08-28 19:30:00,3236.99,3244.79,3233.85,3244.48,2650.1893,2021-08-28 19:30:00,3238.1276449756474
2021-08-28 20:00:00,3244.75,3258.28,3232.73,3249.98,8525.1035,2021-08-28 20:00:00,3238.467717148967
2021-08-28 20:30:00,3249.99,3281.27,3249.99,3281.27,18831.4214,2021-08-28 20:30:00,3240.995778344109
2021-08-28 21:00:00,3281.27,3285.0,3270.62,3279.35,7616.7925,2021-08-28 21:00:00,3242.1386139716897
2021-08-28 21:30:00,3279.07,3282.12,3260.0,3269.85,6389.4747,2021-08-28 21:30:00,3242.8527055798027
2021-08-28 22:00:00,3269.85,3274.66,3263.49,3270.37,6174.862,2021-08-28 22:00:00,3243.482463452009
2021-08-28 22:30:00,3270.37,3274.72,3221.12,3229.48,14092.1822,2021-08-28 22:30:00,3243.395019524062
2021-08-28 23:00:00,3229.47,3232.43,3180.93,3184.16,19449.4557,2021-08-28 23:00:00,3240.4783543248905
2021-08-28 23:30:00,3184.15,3190.0,3160.0,3180.28,25088.4849,2021-08-28 23:30:00,3235.4823618106175
2021-08-29 00:00:00,3180.54,3183.42,3152.34,3181.58,19202.5898,2021-08-29 00:00:00,3172.4466666666667
2021-08-29 00:30:00,3181.5,3188.01,3176.14,3178.86,8091.6983,2021-08-29 00:30:00,3174.9833866157883
2021-08-29 01:00:00,3178.85,3191.7,3171.42,3188.56,5939.3116,2021-08-29 01:00:00,3176.5757193866166
2021-08-29 01:30:00,3188.55,3197.31,3183.65,3190.87,5436.6784,2021-08-29 01:30:00,3178.548807608869
2021-08-29 02:00:00,3190.86,3200.46,3185.2,3197.02,5507.7565,2021-08-29 02:00:00,3180.503395016695
2021-08-29 02:30:00,3197.01,3198.91,3187.0,3192.06,6022.8656,2021-08-29 02:30:00,3181.9614868329063
2021-08-29 03:00:00,3192.05,3208.17,3191.72,3206.98,5956.1499,2021-08-29 03:00:00,3184.1175771448393
2021-08-29 03:30:00,3206.98,3209.18,3200.32,3206.3,3818.7007,2021-08-29 03:30:00,3185.464155418293
2021-08-29 04:00:00,3206.3,3219.33,3201.5,3210.4,6369.9415,2021-08-29 04:00:00,3187.8592403913317
2021-08-29 04:30:00,3210.4,3214.17,3192.63,3206.66,5023.8619,2021-08-29 04:30:00,3189.029681965418
2021-08-29 05:00:00,3206.59,3210.42,3191.13,3197.67,5651.383,2021-08-29 05:00:00,3189.815547620468
2021-08-29 05:30:00,3197.66,3203.84,3191.38,3203.66,4555.8222,2021-08-29 05:30:00,3190.363469777297
2021-08-29 06:00:00,3203.67,3210.76,3191.9,3196.18,4468.3651,2021-08-29 06:00:00,3190.8438196836246
2021-08-29 06:30:00,3196.18,3209.05,3195.39,3203.07,4250.4987,2021-08-29 06:30:00,3191.3926696262292
2021-08-29 07:00:00,3203.06,3208.91,3195.0,3200.51,4358.2062,2021-08-29 07:00:00,3191.8568200081727
2021-08-29 07:30:00,3200.5,3200.51,3181.35,3181.83,6494.137,2021-08-29 07:30:00,3191.6025610323763
2021-08-29 08:00:00,3181.83,3202.02,3177.0,3198.14,6513.6117,2021-08-29 08:00:00,3191.6500000512324
2021-08-29 08:30:00,3198.13,3206.83,3193.21,3195.56,5141.8559,2021-08-29 08:30:00,3191.9637591859787
2021-08-29 09:00:00,3195.56,3203.0,3191.1,3202.65,5013.2245,2021-08-29 09:00:00,3192.259612816291
2021-08-29 09:30:00,3202.65,3203.37,3184.96,3186.83,3742.8378,2021-08-29 09:30:00,3192.2429980448605
2021-08-29 10:00:00,3186.83,3198.75,3181.66,3184.26,4770.6645,2021-08-29 10:00:00,3192.0912015805825
2021-08-29 10:30:00,3184.77,3195.49,3171.41,3173.81,6275.2876,2021-08-29 10:30:00,3191.5302094279473
2021-08-29 11:00:00,3173.97,3185.63,3165.57,3178.22,6600.8241,2021-08-29 11:00:00,3190.8162488512353
2021-08-29 11:30:00,3178.23,3190.0,3178.02,3186.99,3128.8415,2021-08-29 11:30:00,3190.6884680753096
2021-08-29 12:00:00,3186.99,3196.14,3182.63,3187.53,5015.9518,2021-08-29 12:00:00,3190.6230483704526
2021-08-29 12:30:00,3187.34,3215.0,3180.83,3204.55,7145.6185,2021-08-29 12:30:00,3191.0625997499665
2021-08-29 13:00:00,3204.56,3206.67,3191.96,3202.99,3624.7611,2021-08-29 13:00:00,3191.2798587793695
2021-08-29 13:30:00,3202.99,3208.0,3197.35,3204.09,3677.9494,2021-08-29 13:30:00,3191.5496095964413
2021-08-29 14:00:00,3204.09,3208.65,3195.42,3208.57,3750.2809,2021-08-29 14:00:00,3191.836487363205
2021-08-29 14:30:00,3208.58,3209.01,3198.24,3205.11,2775.2885,2021-08-29 14:30:00,3192.0390140146887
2021-08-29 15:00:00,3205.39,3225.0,3204.82,3219.02,5247.3664,2021-08-29 15:00:00,3192.7718574058126
2021-08-29 15:30:00,3219.02,3223.94,3211.14,3220.23,3752.5529,2021-08-29 15:30:00,3193.3149766371293
2021-08-29 16:00:00,3220.24,3239.08,3218.23,3238.17,8436.7728,2021-08-29 16:00:00,3195.064069455286
2021-08-29 16:30:00,3238.17,3244.0,3227.38,3235.99,5035.257,2021-08-29 16:30:00,3196.1388537550415
2021-08-29 17:00:00,3235.99,3247.96,3234.59,3234.59,4642.7594,2021-08-29 17:00:00,3197.158148604325
2021-08-29 17:30:00,3234.59,3241.9,3213.66,3241.64,5525.8033,2021-08-29 17:30:00,3198.127168470903
2021-08-29 18:00:00,3241.65,3255.65,3237.93,3253.01,13228.1739,2021-08-29 18:00:00,3201.260533125423
2021-08-29 18:30:00,3253.02,3258.37,3232.96,3235.8,6398.8051,2021-08-29 18:30:00,3202.453203677079
2021-08-29 19:00:00,3235.81,3246.68,3224.02,3224.83,4392.6116,2021-08-29 19:00:00,3203.027016981244
2021-08-29 19:30:00,3224.83,3234.34,3221.26,3223.47,4653.9392,2021-08-29 19:30:00,3203.499823292241
2021-08-29 20:00:00,3223.47,3229.71,3211.76,3216.38,7083.2572,2021-08-29 20:00:00,3203.9721010565845
2021-08-29 20:30:00,3216.37,3220.42,3182.01,3190.53,13702.7415,2021-08-29 20:30:00,3203.6263510749354
2021-08-29 21:00:00,3190.54,3208.68,3186.58,3208.54,5725.8712,2021-08-29 21:00:00,3203.573603845564
2021-08-29 21:30:00,3208.55,3224.0,3200.04,3205.37,5834.5867,2021-08-29 21:30:00,3203.712343974428
2021-08-29 22:00:00,3205.36,3216.91,3204.01,3213.99,4727.7144,2021-08-29 22:00:00,3203.8528092298457
2021-08-29 22:30:00,3214.0,3214.64,3192.87,3195.45,8110.0519,2021-08-29 22:30:00,3203.768229170692
2021-08-29 23:00:00,3195.43,3198.43,3170.0,3172.55,14133.0652,2021-08-29 23:00:00,3202.6216850799306
2021-08-29 23:30:00,3172.55,3175.11,3143.0,3161.64,16953.9454,2021-08-29 23:30:00,3200.2549171281903
2021-08-30 00:00:00,3161.64,3172.56,3145.49,3162.17,9014.5816,2021-08-30 00:00:00,3160.0733333333333
2021-08-30 00:30:00,3162.17,3166.31,3148.3,3163.95,6642.9638,2021-08-30 00:30:00,3159.838572825938
2021-08-30 01:00:00,3163.94,3174.96,3155.75,3165.58,6386.3073,2021-08-30 01:00:00,3161.4584608130835
2021-08-30 01:30:00,3165.59,3175.65,3162.2,3169.93,6773.7085,2021-08-30 01:30:00,3163.292250700324
2021-08-30 02:00:00,3169.93,3169.93,3154.07,3158.81,9637.2592,2021-08-30 02:00:00,3162.701911864683
2021-08-30 02:30:00,3158.82,3176.66,3150.0,3168.94,7947.4177,2021-08-30 02:30:00,3163.1297651466734
2021-08-30 03:00:00,3168.94,3184.96,3160.14,3183.39,8643.5582,2021-08-30 03:00:00,3165.176359305491
